timestamp,odometer (miles),latitude,longitude,location,distance (m)
2019-04-06T13:54:40Z,168493,35.2037636,-86.8733152,217.374,"I 65, Bradshaw, Giles County, Tennessee, 38478, USA",0.0
2019-04-06T13:54:46Z,168493,35.2052336,-86.8745527,199.616,,199.03291755304107
2019-04-06T13:54:51Z,168493,35.206419,-86.8755965,201.984,,162.28694921103275
2019-04-06T13:54:56Z,168493,35.2076218,-86.8766404,205.385,,163.87808105610438
2019-04-06T13:55:02Z,168493,35.2090546,-86.877896,206.252,,195.8143338100865
2019-04-06T13:55:08Z,168493,35.2104941,-86.8791651,207.431,,197.13687155405245
2019-04-06T13:55:14Z,168493,35.2119423,-86.8804127,204.203,,196.80479079116773
2019-04-06T13:55:19Z,168493,35.21312,-86.8814511,206.482,,161.30104598243506
2019-04-06T13:55:24Z,168493,35.2143138,-86.8825223,207.887,,164.4938655684864
2019-04-06T13:55:30Z,168494,35.2157821,-86.8838841,209.503,,204.73217413122
2019-04-06T13:55:36Z,168494,35.2172648,-86.8851986,211.415,,203.44393645356647
2019-04-06T13:55:42Z,168494,35.2187478,-86.8865077,213.516,,203.18272198916904
2019-04-06T13:55:48Z,168494,35.2203641,-86.8876323,216.371,,206.5183935952565
2019-04-06T13:55:54Z,168494,35.2221385,-86.8882455,222.118,,204.71068692105052
2019-04-06T13:55:59Z,168494,35.2235974,-86.8884226,227.025,,162.73796286999772
2019-04-06T13:56:04Z,168494,35.2250811,-86.8882276,227.511,,165.5697621018479
2019-04-06T13:56:09Z,168494,35.2265258,-86.8878515,225.975,,163.9110734639849
2019-04-06T13:56:15Z,168494,35.2282576,-86.8874011,221.619,,196.51559282362075
2019-04-06T13:56:20Z,168495,35.2297135,-86.8870362,217.931,,164.95174018157678
2019-04-06T13:56:25Z,168495,35.2311922,-86.8868038,213.219,,165.4852277163992
2019-04-06T13:56:31Z,168495,35.232949,-86.8867683,209.144,"Diana Ridge Road, Giles County, Tennessee, 38478, USA",194.98371901532954
2019-04-06T13:56:37Z,168495,35.2346838,-86.8870412,210.709,,194.0763624039573
2019-04-06T13:56:43Z,168495,35.2363964,-86.8874943,211.722,,194.43814158751496
2019-04-06T13:56:48Z,168495,35.237854,-86.8877469,214.935,,163.37678033182712
2019-04-06T13:56:54Z,168495,35.2396194,-86.8878482,217.36,,196.10078837451954
2019-04-06T13:57:00Z,168495,35.2413928,-86.8876528,216.509,,197.56062720288404
2019-04-06T13:57:06Z,168495,35.2431063,-86.887216,218.089,,194.2300557276353
2019-04-06T13:57:12Z,168496,35.2447954,-86.886545,220.56,,197.1200503914559
2019-04-06T13:57:18Z,168496,35.2464122,-86.8856697,227.263,,196.39223602960558
2019-04-06T13:57:23Z,168496,35.2476933,-86.8848075,232.386,,162.4418172314227
2019-04-06T13:57:29Z,168496,35.249231,-86.8837559,234.787,,195.63481531886177
2019-04-06T13:57:35Z,168496,35.250831,-86.8829235,243.841,,193.2211411156195
2019-04-06T13:57:41Z,168496,35.2525875,-86.8827201,245.438,,195.7664586781186
2019-04-06T13:57:47Z,168496,35.2543704,-86.8827998,249.962,,197.99656798297104
2019-04-06T13:57:52Z,168496,35.2558398,-86.8828646,255.024,,163.21456472289037
2019-04-06T13:57:57Z,168497,35.2573259,-86.8829792,260.316,,165.29670069046614
2019-04-06T13:58:03Z,168497,35.2590774,-86.8830447,267.565,,194.5552593392055
2019-04-06T13:58:09Z,168497,35.2607904,-86.8835356,274.107,,195.34666445070062
2019-04-06T13:58:15Z,168497,35.2623054,-86.8846545,270.749,,196.55220679571596
2019-04-06T13:58:21Z,168497,35.2637612,-86.8859184,264.119,,198.39639684407462
2019-04-06T13:58:27Z,168497,35.2652034,-86.8871442,256.927,"I 65, Cornersville, Giles County, Tennessee, 38478, USA",195.1863726352488
2019-04-06T13:58:33Z,168497,35.2666219,-86.8883648,245.716,,192.9539340297776
